Step,Step Name,User Story,Acceptance Criteria,Key Features
2,Property Arrival,"As a tech, I want to document my arrival at the property with photos and hazard information, so that I have a complete record of the property condition before beginning work","- Capture 4+ exterior property photos (front, sides, back)
- Document property age and construction type
- Identify EPA-regulated hazards (lead paint, asbestos)
- Record arrival time and any access notes","- Photo capture with GPS metadata
- Property age validation (pre-1978 triggers lead paint)
- EPA hazard checkboxes with regulatory guidance
- Arrival timestamp auto-capture"
3,Environmental Baseline,"As a tech, I want to record outdoor environmental conditions, so that I have baseline readings for comparison with indoor conditions","- Record outside temperature
- Record outside relative humidity
- Take photo of outdoor moisture meter readings
- Document weather conditions at time of arrival","- Numeric input for temp/humidity
- Photo capture for meter documentation
- Weather condition selection
- Auto-save readings to job record"
4,Cause of Loss,"As a tech, I want to document the source and category of water damage, so that I can properly classify the loss and determine appropriate mitigation procedures","- Identify water source (pipe burst, roof leak, appliance, etc.)
- Document water category (Cat 1/2/3)
- Capture photos of source and damage
- Add detailed notes about circumstances","- Pre-defined water source options
- Category selection with IICRC definitions
- Multiple photo capture for documentation
- Free-text notes field for details
- Category determines PPE/safety requirements"
5,Unaffected Area Baseline,"As a tech, I want to establish dry standard readings in unaffected areas, so that I have reference points for determining when affected areas are dry","- Add multiple unaffected rooms
- Record temp/humidity for each room
- Take photos of moisture meter readings
- Calculate average dry standard values","- Add/edit/delete baseline rooms
- Room-by-room temp/humidity capture
- Photo documentation of meter readings
- Automatic dry standard calculation per IICRC S500
- Navigation buttons hide when in room detail view"
6,Room Assessment,"As a tech, I want to comprehensively assess each affected room, so that I can accurately calculate equipment needs and document pre-existing conditions","- Record room dimensions (L×W×H)
- Calculate affected areas (floor, walls, ceiling sqft)
- Determine damage class (1-4)
- Document moisture readings by material
- Capture 4+ photos per room showing damage
- Log affected materials and removal requirements
- Note pre-existing damage with photos","- Room list with add/edit/delete
- Dimension entry with validation
- Affected area calculators
- Damage class auto-calculation based on % affected
- Material-specific moisture tracking
- Photo requirements enforced (min 4 per room)
- Pre-existing damage documentation
- Navigation buttons hide when in room detail view"
7,Define Drying Chambers,"As a tech, I want to group rooms into drying chambers, so that I can efficiently plan equipment placement and containment strategies","- Auto-create chambers by floor level
- Assign/reassign rooms to chambers
- Rename chambers as needed
- Document containment barriers (poly sheeting)
- Calculate cubic footage per chamber
- Track space reduction from containment","- Auto-chamber creation on mount
- Drag-and-drop or dropdown room assignment
- Chamber renaming capability
- Containment barrier documentation (sqft, zipper doors, poles)
- Space reduction input reduces cubic footage calculation
- Cubic footage auto-updates with containment reduction
- Overall damage class calculation (highest from all rooms)
- Baseline rooms can optionally be assigned"
8,Partial Demo,"As a tech, I want to log demolition work performed during install, so that it's properly documented and billable","- Record demo work by room
- Document materials removed (drywall, flooring, insulation, etc.)
- Track quantities and units
- Capture photos of demo work
- Add notes about disposal","- Room-by-room demo tracking
- Material categories with sqft/lf/each units
- Quantity inputs with validation
- Photo capture for documentation
- Demo notes field
- Optional step (can skip if no demo)"
9,Equipment Calc & Place,"As a tech, I want to calculate required equipment and scan/place it by chamber, so that I deploy the right amount of equipment efficiently","- Auto-calculate dehumidifiers based on cubic footage and damage class
- Auto-calculate air movers based on affected sqft
- Review calculations and adjust if needed
- Scan equipment barcodes and assign to chambers
- Track equipment serial numbers and placement
- Generate equipment placement map","- IICRC S500 compliant calculations
- Cubic footage from chambers (with containment reduction)
- Damage class multipliers
- Chamber-by-chamber equipment assignment
- Barcode scanning for equipment tracking
- Equipment placement photos
- Real-time equipment inventory"
10,Additional Billable Work,"As a tech, I want to log additional services performed, so that all billable work is captured for invoicing","- Log contents pack-out services
- Document protection/moving services
- Record cleaning services performed
- Track antimicrobial application
- Note any specialty services
- Capture photos of additional work","- Category-based service selection
- Quantity tracking with units (hours, sqft, each)
- Photo documentation per service
- Notes field for details
- Quick action modal for fast entry
- Auto-save to job record"
11,Final Photos,"As a tech, I want to capture photos of the completed equipment setup, so that I document the final installation state","- Capture wide shots showing equipment placement
- Photograph each chamber setup
- Document containment barriers if installed
- Show air mover and dehumidifier positioning
- Include any specialty equipment (air scrubbers, etc.)","- Photo capture with chamber tagging
- Minimum photo requirements per chamber
- GPS metadata on photos
- Photo gallery review
- Delete/retake capability"
12,Schedule Work,"As a tech, I want to schedule follow-up visits, so that monitoring and pull dates are planned and communicated","- Schedule Day 2+ monitoring checks
- Plan additional demo if needed
- Set tentative equipment pull date
- Add notes about scheduling considerations
- Estimate drying timeline","- Calendar date picker for visits
- Visit type selection (monitor, demo, pull)
- Recurring visit scheduling
- Notes per visit type
- IICRC drying timeline guidance
- Integration with tech calendar"
13,Communicate Plan,"As a tech, I want to review the complete mitigation plan, so that I can verify all work is documented before departure","- Review job summary (rooms, chambers, equipment)
- See complete timeline (arrival to estimated pull)
- Review all photos captured
- Verify equipment counts match plan
- Check for any incomplete sections
- Preview report for customer (not sent from here)","- Comprehensive job summary
- Equipment vs. plan validation
- Photo count verification
- Incomplete step warnings
- Report preview (read-only)
- Tech-facing only (not customer communication)"
14,Complete,"As a tech, I want to finalize and close the workflow, so that all data is saved and the job status is updated","- Enter departure time
- Add final tech notes
- Validate all required steps completed
- Review job information summary
- Save and mark workflow complete
- Return to dashboard","- Departure time capture
- Tech notes field
- Validation checks for required data
- Job info summary display (customer, address, loss info)
- Workflow summary (rooms, chambers, equipment)
- Mark job phase as completed
- Auto-save on completion
- Return to tech dashboard"
